Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.74464E-8,0.000003745,0.000014497,1,0,0
8.45807E-8,0.000012203,0.000032745,0.99827883,0,0
1.5437E-7,0.00002764,0.000059762,0.996557659,0,0
3.88788E-7,0.000084007,0.000150507,0.993115318,0,0
6.49814E-7,0.000148988,0.000251543,0.991394148,0,0
1.62751E-6,0.00031174,0.00062989,0.989672978,0,0
3.2348E-6,0.000635219,0.00125156,0.987951807,0,0
5.26112E-6,0.001161331,0.002034757,0.986230637,0,0
9.01978E-6,0.002877681,0.003485897,0.982788296,0,0
1.04047E-5,0.005834739,0.004020063,0.977624785,0,0
1.27241E-5,0.010700026,0.004913997,0.970740103,0,0
1.69906E-5,0.026359514,0.006556276,0.953528399,0,0
2.26611E-5,0.050191395,0.008734813,0.932874355,0,0
3.69398E-5,0.103575309,0.014199371,0.903614458,0,0
4.97903E-5,0.204046402,0.019091598,0.864027539,0,0
6.24654E-5,0.300114991,0.023893258,0.834767642,0,0
7.50846E-5,0.404623542,0.02865041,0.808950086,0.003448276,0
8.88886E-5,0.505916537,0.033827642,0.788296041,0.003448276,0
1.11019E-4,0.606106662,0.04207007,0.771084337,0.003448276,0
1.27552E-4,0.711863105,0.048181912,0.755593804,0.003448276,0
1.34346E-4,0.751410625,0.050682144,0.750430293,0.003448276,0
1.57364E-4,0.811838052,0.059104321,0.743545611,0.003448276,0
1.7659E-4,0.91263923,0.066081903,0.733218589,0.003448276,0
2.12819E-4,1.010553604,0.079089522,0.724612737,0.003448276,0
2.3714E-4,1.102794903,0.087719948,0.717728055,0.003448276,0
2.47843E-4,1.200467816,0.091492172,0.710843373,0.003448276,0
2.67265E-4,1.306153642,0.098297856,0.703958692,0.003448276,0
2.86504E-4,1.415962349,0.104989117,0.69707401,0.003448276,0
2.92335E-4,1.503184579,0.107007303,0.691910499,0.003448276,0
3.70599E-4,1.780076373,0.133658842,0.678141136,0.003448276,0
4.20441E-4,2.025129447,0.150215881,0.667814114,0.010344828,0
4.89005E-4,2.297814918,0.172475854,0.657487091,0.013793103,0
5.47953E-4,2.553188369,0.191147644,0.648881239,0.013793103,0
5.7198E-4,2.778834662,0.198636621,0.641996558,0.017241379,0
6.13404E-4,3.014161157,0.211385671,0.635111876,0.017241379,0
6.55973E-4,3.273432067,0.224275932,0.628227194,0.017241379,0
7.82075E-4,3.558677129,0.261237326,0.621342513,0.017241379,0
8.66385E-4,3.812505105,0.28496147,0.616179002,0.017241379,0
9.06966E-4,4.083235113,0.296107573,0.611015491,0.020689655,0
9.15271E-4,4.265665167,0.298367162,0.60757315,0.020689655,0
9.98839E-4,4.551632394,0.320703982,0.602409639,0.020689655,0
1.04378E-3,4.75960379,0.332420588,0.598967298,0.024137931,0
1.06941E-3,5.078224776,0.339012761,0.593803787,0.024137931,0
1.13446E-3,5.301156129,0.355451426,0.590361446,0.024137931,0
1.14812E-3,5.530550997,0.358849856,0.586919105,0.027586207,0
1.17286E-3,5.764441896,0.364961735,0.583476764,0.031034483,0
1.38E-3,6.036758881,0.413899157,0.580034423,0.031034483,0
1.39798E-3,6.315704947,0.417965517,0.576592083,0.034482759,0
1.48886E-3,6.609380427,0.438088192,0.573149742,0.037931034,0
1.50385E-3,6.759765582,0.441339174,0.571428571,0.037931034,0
